Domain,Area,Element,Item,Year,Unit,Value
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2009","million USD","30.752919"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2010","million USD","0.124224"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2011","million USD","22.342559"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2012","million USD","9.25737"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2013","million USD","8.563189"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2014","million USD","0.342807"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2015","million USD","-25.629646"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2016","million USD","-14.814653"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2017","million USD","-6.053773"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2018","million USD","4.323363"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2019","million USD","31.913798"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2020","million USD","-2.332606"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2006","million USD","0.31228"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2007","million USD","3.376229"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2008","million USD","0.391003"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2009","million USD","-0.125012"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2010","million USD","-0.124224"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2012","million USD","0.231434"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2013","million USD","0.462875"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2014","million USD","-0.799882"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2015","million USD","-0.665705"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2017","million USD","-0.718244"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2018","million USD","1.080841"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2019","million USD","-0.746522"
"Foreign Direct Investment (FDI)","Bulgaria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2020","million USD","0.628009"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2006","million USD","15.084002"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2007","million USD","5.884965"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2008","million USD","-1.328251"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2009","million USD","16.368198"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2010","million USD","122.600633"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2011","million USD","159.631243"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2012","million USD","-13.369809"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2013","million USD","51.938621"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2014","million USD","9.521168"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2015","million USD","63.011163"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2016","million USD","73.331674"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2017","million USD","17.942182"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2018","million USD","-31.439456"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2019","million USD","0.967284"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2020","million USD","0.89086"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2006","million USD","0.194259"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2007","million USD","0.045424"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2008","million USD","13.676916"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2009","million USD","10.637355"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2010","million USD","3.646381"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2012","million USD","14.72162"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2013","million USD","0.418154"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2014","million USD","-2.283226"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2015","million USD","6.010351"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2016","million USD","1.286295"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2017","million USD","2.047974"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2018","million USD","3.513934"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2019","million USD","0.426651"
"Foreign Direct Investment (FDI)","Croatia","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2020","million USD","-2.01291"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2006","million USD","-0.066997"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2007","million USD","-0.093615"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2013","million USD","0.000011"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2014","million USD","0.000011"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2015","million USD","0.000011"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2016","million USD","0.000011"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2017","million USD","0.000011"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2018","million USD","0.000011"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2019","million USD","0.000011"
"Foreign Direct Investment (FDI)","Cyprus","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2020","million USD","0.000011"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2006","million USD","67.814017"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2007","million USD","8.656459"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2008","million USD","-7.259789"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2009","million USD","0.627434"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2010","million USD","14.515758"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2011","million USD","-2.071583"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2012","million USD","-31.2428"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2013","million USD","-28.008209"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2014","million USD","13.331863"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2015","million USD","0.760364"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2016","million USD","26.133526"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2017","million USD","-17.688017"
"Foreign Direct Investment (FDI)","Czechia","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2018","million USD","21.77423"
